Date,Close
2025-01-10,2429.848846613594
2025-01-11,2429.848846613594
2025-01-12,2429.848846613594
2025-01-13,2429.848846613594
2025-01-14,2429.848846613594
2025-01-15,2429.848846613594
2025-01-16,2429.848846613594
2025-01-17,2429.848846613594
2025-01-18,2429.848846613594
2025-01-19,2429.848846613594
2025-01-20,2429.848846613594
2025-01-21,2429.848846613594
2025-01-22,2429.848846613594
2025-01-23,2429.848846613594
2025-01-24,2429.848846613594
2025-01-25,2429.848846613594
2025-01-26,2429.848846613594
2025-01-27,2429.848846613594
2025-01-28,2429.848846613594
2025-01-29,2429.848846613594
2025-01-30,2429.848846613594
2025-01-31,2429.848846613594
2025-02-01,2429.848846613594
2025-02-02,2429.848846613594
2025-02-03,2429.848846613594
2025-02-04,2429.848846613594
2025-02-05,2429.848846613594
2025-02-06,2429.848846613594
2025-02-07,2429.848846613594
2025-02-08,2429.848846613594
